"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Cases","05/13/2023","30-49","54.2","16.5","24.5","3.3","2.2",,,,,,"108,868","278,401","347,295","59","46","85","30","49"
"Cases","07/08/2023","All","12.4","6.0","9.8","2.1","1.3","15.3","6.0","7.2","2.6","2.1","531,904","860,327","1,040,745","66","52","102","999","999"
"Deaths","09/24/2022","12-17","0.0","0.0","0.0",,,,,,,,"34,979","85,783","44,379","0","0","0","12","17"
"Cases","06/10/2023","65-79","12.7","16.1","21.0","0.8","0.6",,,,,,"39,441","43,434","171,732","5","7","36","65","79"
"Hospitalizations","12/18/2021","65-79","175.8","52.7","11.7","3.3","15.0",,,,,,"53,484","94,857","110,903","94","50","13","65","79"
"Hospitalizations","09/09/2023","0-4","1.2","0.0",,,,,,,,,"162,642",,,"2","0",,"0","4"
"Hospitalizations","02/04/2023","12-17","3.0","2.3","2.2","1.3","1.4",,,,,,"33,352","86,315","44,553","1","2","1","12","17"
"Deaths","11/13/2021","50-64","8.7","0.6","0.0","14.5",,,,,,,"69,301","308,448","36,865","6","2","0","50","64"
"Deaths","08/19/2023","80+","0.0","8.8","2.1","0.0","0.0",,,,,,"24,470","11,380","47,133","0","1","1","80","200"
"Deaths","05/01/2021","12-17","0.6",,,,,,,,,,"167,682",,,"1",,,"12","17"
"Deaths","12/25/2021","18-29","0.0","0.0","0.0",,,,,,,,"139,528","277,971","58,804","0","0","0","18","29"
"Cases","09/10/2022","0-4","87.3","1.8",,"48.5",,,,,,,"162,642",,,"142","3",,"0","4"
"Hospitalizations","02/19/2022","All","6.1","5.3","3.3","1.2","1.8","8.3","6.8","2.2","1.2","3.8","677,481","910,869","868,745","41","48","29","999","999"
"Deaths","08/26/2023","All","0.4","0.0","0.1",,"4.0","0.4","0.0","0.1",,"5.4","527,758","860,290","1,040,810","2","0","1","999","999"
"Deaths","08/05/2023","30-49","0.0","0.0","0.0",,,,,,,,"107,409","278,402","347,313","0","0","0","30","49"
"Deaths","07/10/2021","18-29","0.0","0.0",,,,,,,,,"221,917","267,760",,"0","0",,"18","29"
"Cases","05/01/2021","65-79","148.6","15.7",,"9.5",,,,,,,"86,807","152,729",,"129","24",,"65","79"
"Hospitalizations","05/13/2023","12-17","0.0","1.2","0.0","0.0",,,,,,,"32,614","86,583","44,576","0","1","0","12","17"
"Hospitalizations","10/08/2022","30-49","7.4","1.1","1.7","6.7","4.4",,,,,,"121,106","276,136","346,953","9","3","6","30","49"
"Deaths","01/15/2022","12-17","0.0","0.0","0.0",,,,,,,,"48,295","106,637","5,029","0","0","0","12","17"
"Cases","03/25/2023","30-49","94.5","45.3","53.3","2.1","1.8",,,,,,"110,064","278,072","347,275","104","126","185","30","49"
"Cases","01/29/2022","12-17","452.2","271.2","161.6","1.7","2.8",,,,,,"44,003","100,652","13,613","199","273","22","12","17"
"Hospitalizations","07/09/2022","18-29","6.4","4.7","1.9","1.4","3.4",,,,,,"93,482","214,304","156,355","6","10","3","18","29"
"Cases","03/04/2023","0-4","59.6","9.8",,"6.1",,,,,,,"162,642",,,"97","16",,"0","4"
"Hospitalizations","07/08/2023","80+","4.1","8.8","6.4","0.5","0.6",,,,,,"24,498","11,383","47,130","1","1","3","80","200"
"Deaths","10/28/2023","All","0.2","0.3","0.2","0.7","1.0","0.1","0.7","0.1","0.2","0.9","514,722","862,266","1,043,533","1","3","2","999","999"
"Deaths","07/23/2022","50-64","2.4","0.0","0.0",,,,,,,,"41,269","128,418","242,018","1","0","0","50","64"
"Deaths","05/13/2023","50-64","0.0","0.0","0.0",,,,,,,,"33,018","125,743","246,910","0","0","0","50","64"
"Deaths","05/22/2021","50-64","6.1","0.0",,,,,,,,,"131,081","237,808",,"8","0",,"50","64"
"Cases","02/12/2022","5-11","155.0","213.5",,"0.7",,,,,,,"109,671","68,864",,"170","147",,"5","11"
"Deaths","12/10/2022","18-29","0.0","0.0","0.0",,,,,,,,"80,480","212,671","161,589","0","0","0","18","29"
"Deaths","01/14/2023","5-11","0.0","0.0","0.0",,,,,,,,"92,141","81,692","21,167","0","0","0","5","11"
"Cases","12/25/2021","18-29","2,798.7","1,702.3","1,520.3","1.6","1.8",,,,,,"139,528","277,971","58,804","3,905","4,732","894","18","29"
"Deaths","01/01/2022","30-49","3.6","0.3","0.0","12.0",,,,,,,"168,393","380,138","202,387","6","1","0","30","49"
"Deaths","04/02/2022","65-79","0.0","1.9","0.0","0.0",,,,,,,"48,452","51,564","159,143","0","1","0","65","79"
"Deaths","06/12/2021","65-79","13.3","0.0",,,,,,,,,"75,414","181,840",,"10","0",,"65","79"
"Deaths","06/04/2022","80+","7.5","7.9","4.4","0.9","1.7",,,,,,"26,586","12,627","45,272","2","1","2","80","200"
"Cases","07/10/2021","12-17","26.6","1.9",,"14.0",,,,,,,"105,323","53,689",,"28","1",,"12","17"
"Deaths","03/26/2022","80+","0.0","14.2","0.0","0.0",,,,,,,"27,071","14,053","43,109","0","2","0","80","200"
"Hospitalizations","05/21/2022","5-11","0.0","2.1","0.0","0.0",,,,,,,"101,061","94,369","411","0","2","0","5","11"
"Deaths","06/19/2021","50-64","7.0","0.0",,,,,,,,,"114,456","287,354",,"8","0",,"50","64"
"Cases","06/25/2022","65-79","223.3","157.1","177.8","1.4","1.3",,,,,,"46,578","46,462","167,052","104","73","297","65","79"
"Hospitalizations","01/01/2022","30-49","102.1","27.4","8.4","3.7","12.2",,,,,,"168,393","380,138","202,387","172","104","17","30","49"
"Deaths","09/30/2023","18-29","0.0","0.0","0.0",,,,,,,,"72,503","214,130","161,728","0","0","0","18","29"
"Deaths","07/22/2023","18-29","0.0","0.0","0.0",,,,,,,,"73,902","214,135","161,709","0","0","0","18","29"
"Hospitalizations","06/04/2022","18-29","11.6","3.7","2.0","3.1","5.8",,,,,,"94,995","215,928","153,584","11","8","3","18","29"
"Cases","04/23/2022","30-49","162.2","104.2","301.1","1.6","0.5",,,,,,"131,359","287,869","329,404","213","300","992","30","49"
"Hospitalizations","11/13/2021","50-64","44.7","4.2","0.0","10.6",,,,,,,"69,301","308,448","36,865","31","13","0","50","64"
"Hospitalizations","09/18/2021","All","15.8","3.2",,"4.9",,"23.7","2.4",,"9.8",,"1,033,219","1,487,228",,"163","47",,"999","999"
"Hospitalizations","11/26/2022","5-11","0.0","0.0","0.0",,,,,,,,"93,076","81,025","21,098","0","0","0","5","11"
"Deaths","12/11/2021","18-29","0.7","0.0","0.0",,,,,,,,"147,702","295,416","37,772","1","0","0","18","29"
"Cases","05/15/2021","12-17","120.5",,,,,,,,,,"152,721",,,"184",,,"12","17"
"Deaths","10/21/2023","50-64","0.0","0.0","0.0",,,,,,,,"31,095","125,782","247,254","0","0","0","50","64"
"Cases","09/03/2022","80+","148.8","209.3","230.2","0.7","0.6",,,,,,"26,205","11,466","46,907","39","24","108","80","200"
"Deaths","07/10/2021","All","0.7","0.0",,,,"1.0","0.0",,,,"1,194,853","1,348,222",,"8","0",,"999","999"
"Hospitalizations","07/24/2021","50-64","17.6","1.0",,"17.6",,,,,,,"102,426","311,064",,"18","3",,"50","64"
"Hospitalizations","09/09/2023","65-79","28.1","13.8","18.6","2.0","1.5",,,,,,"39,140","43,415","171,755","11","6","32","65","79"
"Deaths","06/10/2023","65-79","0.0","0.0","1.2",,"0.0",,,,,,"39,441","43,434","171,732","0","0","2","65","79"
"Cases","11/13/2021","18-29","246.0","102.9","27.9","2.4","8.8",,,,,,"160,183","311,808","14,313","394","321","4","18","29"
"Hospitalizations","02/05/2022","50-64","36.9","7.6","9.4","4.9","3.9",,,,,,"48,776","157,818","201,587","18","12","19","50","64"
"Hospitalizations","03/18/2023","5-11","0.0","0.0","0.0",,,,,,,,"91,300","82,368","21,212","0","0","0","5","11"
"Deaths","11/19/2022","18-29","0.0","0.0","0.0",,,,,,,,"82,036","212,422","161,555","0","0","0","18","29"
"Hospitalizations","09/11/2021","All","16.3","3.8",,"4.3",,"23.0","3.0",,"7.8",,"1,046,939","1,475,716",,"171","56",,"999","999"
"Cases","07/01/2023","12-17","6.2","1.2","2.2","5.2","2.8",,,,,,"32,274","86,578","44,588","2","1","1","12","17"
"Hospitalizations","12/18/2021","30-49","53.8","8.4","3.4","6.4","15.8",,,,,,"176,574","429,933","147,317","95","36","5","30","49"
"Hospitalizations","05/15/2021","50-64","44.6","2.7",,"16.5",,,,,,,"139,168","218,624",,"62","6",,"50","64"
"Hospitalizations","10/22/2022","5-11","2.1","0.0","0.0",,,,,,,,"94,103","80,652","20,656","2","0","0","5","11"
"Deaths","06/19/2021","65-79","2.7","1.1",,"2.5",,,,,,,"74,281","183,897",,"2","2",,"65","79"
"Cases","02/05/2022","5-11","189.6","327.9",,"0.6",,,,,,,"112,371","63,443",,"213","208",,"5","11"
"Cases","08/12/2023","All","39.5","16.7","32.1","2.4","1.2","44.9","17.6","27.4","2.5","1.6","528,906","860,313","1,040,782","209","144","334","999","999"
"Deaths","09/03/2022","65-79","4.4","0.0","0.0",,,,,,,,"45,582","43,748","170,866","2","0","0","65","79"
"Deaths","10/08/2022","30-49","0.0","0.4","0.3","0.0","0.0",,,,,,"121,106","276,136","346,953","0","1","1","30","49"
"Deaths","06/12/2021","All","2.1","0.2",,"10.5",,"3.3","0.1",,"24.5",,"1,257,017","1,201,445",,"27","2",,"999","999"
"Cases","08/05/2023","All","28.9","13.1","25.2","2.2","1.1","33.3","14.7","20.1","2.3","1.7","529,533","860,315","1,040,778","153","113","262","999","999"
"Hospitalizations","02/19/2022","12-17","0.0","0.0","0.0",,,,,,,,"40,355","95,758","23,968","0","0","0","12","17"
"Cases","07/30/2022","80+","152.0","219.2","252.3","0.7","0.6",,,,,,"26,322","11,862","46,378","40","26","117","80","200"
"Cases","11/11/2023","65-79","77.1","58.9","67.3","1.3","1.1",,,,,,"37,622","44,141","172,402","29","26","116","65","79"
"Cases","03/11/2023","65-79","97.5","94.4","95.5","1.0","1.0",,,,,,"40,003","43,418","171,704","39","41","164","65","79"
"Hospitalizations","11/11/2023","5-11","2.3","1.2","0.0","1.9",,,,,,,"88,571","82,151","21,989","2","1","0","5","11"
"Hospitalizations","03/04/2023","5-11","0.0","0.0","0.0",,,,,,,,"91,467","82,250","21,203","0","0","0","5","11"
"Cases","11/04/2023","30-49","58.0","21.5","21.8","2.7","2.7",,,,,,"101,766","279,203","348,427","59","60","76","30","49"
"Deaths","03/04/2023","65-79","0.0","0.0","2.9",,"0.0",,,,,,"40,040","43,409","171,702","0","0","5","65","79"
"Cases","11/12/2022","12-17","160.6","67.4","80.9","2.4","2.0",,,,,,"34,246","86,007","44,506","55","58","36","12","17"
"Hospitalizations","05/28/2022","80+","48.8","70.5","44.4","0.7","1.1",,,,,,"26,624","12,774","45,035","13","9","20","80","200"
"Hospitalizations","11/25/2023","12-17","0.0","1.2","0.0","0.0",,,,,,,"31,452","86,469","44,749","0","1","0","12","17"
"Cases","11/13/2021","50-64","274.2","87.9","24.4","3.1","11.2",,,,,,"69,301","308,448","36,865","190","271","9","50","64"
"Cases","09/24/2022","65-79","127.3","82.9","103.9","1.5","1.2",,,,,,"44,762","43,407","171,353","57","36","178","65","79"
"Hospitalizations","08/12/2023","18-29","1.4","0.9","1.2","1.6","1.2",,,,,,"73,575","214,133","161,715","1","2","2","18","29"
"Hospitalizations","03/04/2023","65-79","32.5","32.3","11.1","1.0","2.9",,,,,,"40,040","43,409","171,702","13","14","19","65","79"
"Deaths","08/06/2022","30-49","0.0","0.0","0.0",,,,,,,,"126,294","278,159","343,405","0","0","0","30","49"
"Deaths","01/22/2022","65-79","65.4","28.8","2.1","2.3","31.1",,,,,,"50,480","66,009","141,953","33","19","3","65","79"
"Deaths","09/24/2022","80+","3.8","17.6","6.4","0.2","0.6",,,,,,"25,995","11,376","47,037","1","2","3","80","200"
"Hospitalizations","06/26/2021","All","2.6","0.5",,"5.2",,"3.3","0.4",,"8.8",,"1,221,600","1,290,050",,"32","7",,"999","999"
"Hospitalizations","02/26/2022","30-49","7.3","1.3","2.3","5.6","3.2",,,,,,"136,458","296,367","310,294","10","4","7","30","49"
"Cases","05/22/2021","50-64","185.4","13.5",,"13.7",,,,,,,"131,081","237,808",,"243","32",,"50","64"
"Hospitalizations","09/02/2023","All","4.0","2.4","4.7","1.7","0.9","5.4","3.7","3.4","1.5","1.6","527,182","860,288","1,040,815","21","21","49","999","999"
"Hospitalizations","09/04/2021","65-79","39.9","7.2",,"5.5",,,,,,,"65,150","194,427",,"26","14",,"65","79"
"Deaths","09/03/2022","80+","3.8","0.0","4.3",,"0.9",,,,,,"26,205","11,466","46,907","1","0","2","80","200"
"Hospitalizations","11/04/2023","80+","16.6","51.9","25.4","0.3","0.7",,,,,,"24,080","11,553","47,261","4","6","12","80","200"
"Hospitalizations","07/22/2023","50-64","9.2","0.0","0.8",,"11.5",,,,,,"32,565","125,729","246,933","3","0","2","50","64"
"Cases","06/17/2023","18-29","8.1","3.7","6.8","2.2","1.2",,,,,,"74,493","214,135","161,700","6","8","11","18","29"
"Cases","09/18/2021","18-29","235.0","71.9",,"3.3",,,,,,,"181,678","301,822",,"427","217",,"18","29"
"Deaths","10/02/2021","50-64","5.1","0.3",,"17.0",,,,,,,"79,080","330,032",,"4","1",,"50","64"
"Hospitalizations","12/25/2021","80+","196.0","211.6","32.9","0.9","6.0",,,,,,"28,067","22,679","33,427","55","48","11","80","200"
"Cases","08/12/2023","12-17","18.8","6.9","15.7","2.7","1.2",,,,,,"31,954","86,577","44,592","6","6","7","12","17"
"Cases","09/03/2022","30-49","236.5","114.0","159.8","2.1","1.5",,,,,,"125,170","276,368","345,994","296","315","553","30","49"
"Cases","12/25/2021","All","1,662.3","1,359.4","815.3","1.2","2.0","1,926.4","1,161.2","782.0","1.7","2.5","814,632","1,161,444","517,372","13,542","15,789","4,218","999","999"
"Hospitalizations","04/29/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,734","86,571","44,574","0","0","0","12","17"
"Deaths","01/21/2023","18-29","0.0","0.0","0.0",,,,,,,,"78,128","213,123","161,635","0","0","0","18","29"
"Deaths","04/24/2021","All","2.5","0.3",,"8.3",,"3.5","0.2",,"18.1",,"1,530,109","593,621",,"38","2",,"999","999"
"Deaths","05/22/2021","65-79","21.4","0.0",,,,,,,,,"79,541","171,129",,"17","0",,"65","79"
"Hospitalizations","09/24/2022","12-17","2.9","0.0","0.0",,,,,,,,"34,979","85,783","44,379","1","0","0","12","17"
"Hospitalizations","05/08/2021","65-79","63.0","5.6",,"11.3",,,,,,,"84,155","160,587",,"53","9",,"65","79"
"Deaths","08/27/2022","80+","11.4","17.3","2.1","0.7","5.4",,,,,,"26,217","11,529","46,830","3","2","1","80","200"
"Deaths","04/16/2022","65-79","0.0","0.0","0.6",,"0.0",,,,,,"48,067","50,646","160,443","0","0","1","65","79"
"Hospitalizations","05/28/2022","30-49","14.7","2.8","3.6","5.3","4.1",,,,,,"129,368","283,855","335,115","19","8","12","30","49"
"Hospitalizations","03/26/2022","18-29","2.0","0.5","0.7","4.0","2.9",,,,,,"99,220","220,462","145,029","2","1","1","18","29"
"Cases","11/18/2023","0-4","51.0","1.8",,"28.3",,,,,,,"162,642",,,"83","3",,"0","4"
"Deaths","10/01/2022","30-49","0.0","0.0","0.3",,"0.0",,,,,,"122,014","276,030","346,933","0","0","1","30","49"
"Hospitalizations","04/15/2023","80+","8.1","26.4","38.2","0.3","0.2",,,,,,"24,612","11,385","47,126","2","3","18","80","200"
"Deaths","01/01/2022","All","8.9","2.6","1.4","3.4","6.4","12.7","3.4","0.7","3.7","18.4","797,277","1,104,766","587,380","71","29","8","999","999"
"Hospitalizations","01/08/2022","30-49","91.0","28.2","10.8","3.2","8.4",,,,,,"161,589","361,224","223,160","147","102","24","30","49"
"Deaths","12/31/2022","65-79","7.4","0.0","0.6",,"12.3",,,,,,"40,666","43,359","171,676","3","0","1","65","79"
"Deaths","08/12/2023","80+","0.0","0.0","0.0",,,,,,,,"24,472","11,382","47,131","0","0","0","80","200"
"Hospitalizations","09/16/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,696","86,574","44,597","0","0","0","12","17"
"Hospitalizations","05/21/2022","30-49","7.7","4.6","2.4","1.7","3.2",,,,,,"129,750","284,685","334,000","10","13","8","30","49"
"Hospitalizations","12/31/2022","65-79","44.3","39.2","33.8","1.1","1.3",,,,,,"40,666","43,359","171,676","18","17","58","65","79"
"Hospitalizations","08/14/2021","12-17","4.7","0.0",,,,,,,,,"85,815","69,935",,"4","0",,"12","17"
"Deaths","04/16/2022","18-29","0.0","0.0","0.0",,,,,,,,"97,780","218,922","148,408","0","0","0","18","29"
"Cases","10/16/2021","30-49","159.7","57.7",,"2.8",,,,,,,"210,412","535,672",,"336","309",,"30","49"
"Deaths","09/24/2022","5-11","0.0","0.0","0.0",,,,,,,,"94,919","81,672","18,722","0","0","0","5","11"
"Cases","11/12/2022","50-64","240.7","85.4","135.4","2.8","1.8",,,,,,"36,564","125,287","246,697","88","107","334","50","64"
"Deaths","05/14/2022","12-17","0.0","0.0","0.0",,,,,,,,"37,341","94,014","34,086","0","0","0","12","17"
"Deaths","08/12/2023","30-49","0.0","0.0","0.0",,,,,,,,"107,297","278,401","347,314","0","0","0","30","49"
"Deaths","06/17/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","07/15/2023","18-29","23.0","5.6","8.7","4.1","2.6",,,,,,"74,031","214,138","161,706","17","12","14","18","29"
"Hospitalizations","07/15/2023","65-79","10.2","2.3","1.2","4.4","8.5",,,,,,"39,336","43,424","171,745","4","1","2","65","79"
"Hospitalizations","02/11/2023","80+","28.3","44.0","36.1","0.6","0.8",,,,,,"24,710","11,376","47,122","7","5","17","80","200"
"Deaths","05/13/2023","30-49","0.0","0.0","0.0",,,,,,,,"108,868","278,401","347,295","0","0","0","30","49"
"Cases","09/09/2023","All","63.4","27.4","50.8","2.3","1.2","70.1","27.9","40.2","2.5","1.7","526,704","860,292","1,040,817","334","236","529","999","999"
"Deaths","11/12/2022","30-49","0.0","0.0","0.0",,,,,,,,"116,651","276,645","347,072","0","0","0","30","49"
"Cases","10/08/2022","12-17","161.0","69.9","51.8","2.3","3.1",,,,,,"34,773","85,834","44,443","56","60","23","12","17"
"Cases","11/25/2023","0-4","67.0","1.2",,"55.8",,,,,,,"162,642",,,"109","2",,"0","4"
"Hospitalizations","08/26/2023","65-79","20.4","9.2","11.6","2.2","1.8",,,,,,"39,187","43,414","171,755","8","4","20","65","79"
"Hospitalizations","07/10/2021","30-49","4.3","0.4",,"10.8",,,,,,,"280,996","481,217",,"12","2",,"30","49"
"Cases","04/22/2023","5-11","41.8","42.4","94.2","1.0","0.4",,,,,,"90,975","82,623","21,231","38","35","20","5","11"
"Hospitalizations","12/03/2022","All","19.5","9.5","10.6","2.1","1.8","25.6","13.4","7.3","1.9","3.5","562,883","851,081","1,039,826","110","81","110","999","999"
"Cases","12/02/2023","18-29","109.1","35.7","29.5","3.1","3.7",,,,,,"67,857","215,628","162,973","74","77","48","18","29"
"Cases","02/05/2022","18-29","253.7","91.4","152.5","2.8","1.7",,,,,,"108,394","225,478","122,651","275","206","187","18","29"
"Cases","10/08/2022","18-29","119.3","43.0","71.2","2.8","1.7",,,,,,"87,155","211,790","161,468","104","91","115","18","29"
"Hospitalizations","07/22/2023","All","1.9","0.5","1.3","3.8","1.5","3.0","0.7","0.9","4.3","3.5","530,682","860,314","1,040,764","10","4","14","999","999"
"Deaths","02/05/2022","80+","58.4","81.2","2.5","0.7","23.4",,,,,,"27,390","16,013","40,692","16","13","1","80","200"
"Deaths","02/25/2023","65-79","2.5","4.6","0.6","0.5","4.2",,,,,,"40,075","43,402","171,700","1","2","1","65","79"
"Cases","01/08/2022","All","2,211.2","1,608.9","1,136.1","1.4","1.9","2,492.5","1,510.1","996.1","1.7","2.5","771,844","1,058,475","641,998","17,067","17,030","7,294","999","999"
"Hospitalizations","10/23/2021","30-49","11.6","0.7","0.0","16.6",,,,,,,"207,114","534,216","17,244","24","4","0","30","49"
"Deaths","08/21/2021","65-79","6.0","1.0",,"6.0",,,,,,,"66,724","194,251",,"4","2",,"65","79"
"Cases","06/19/2021","30-49","29.2","5.3",,"5.5",,,,,,,"294,504","450,450",,"86","24",,"30","49"
"Cases","08/21/2021","12-17","182.3","23.4",,"7.8",,,,,,,"81,744","72,763",,"149","17",,"12","17"
"Cases","08/13/2022","80+","137.1","274.3","293.7","0.5","0.5",,,,,,"26,264","11,664","46,650","36","32","137","80","200"
"Deaths","09/04/2021","12-17","0.0","0.0",,,,,,,,,"75,470","79,801",,"0","0",,"12","17"
"Cases","11/26/2022","0-4","71.9","3.1",,"23.2",,,,,,,"162,642",,,"117","5",,"0","4"
"Deaths","02/11/2023","12-17","0.0","0.0","0.0",,,,,,,,"33,305","86,332","44,556","0","0","0","12","17"
"Hospitalizations","05/22/2021","65-79","49.0","4.7",,"10.4",,,,,,,"79,541","171,129",,"39","8",,"65","79"
"Hospitalizations","11/19/2022","All","12.9","5.8","9.4","2.2","1.4","16.5","9.1","6.4","1.8","2.6","567,313","849,096","1,039,651","73","49","98","999","999"
"Cases","04/08/2023","65-79","72.8","57.6","78.6","1.3","0.9",,,,,,"39,837","43,431","171,716","29","25","135","65","79"
"Deaths","11/06/2021","30-49","2.0","0.0","0.0",,,,,,,,"199,928","527,699","31,898","4","0","0","30","49"
"Hospitalizations","07/29/2023","80+","4.1","70.3","25.5","0.1","0.2",,,,,,"24,479","11,383","47,130","1","8","12","80","200"
"Hospitalizations","11/25/2023","0-4","4.9","0.0",,,,,,,,,"162,642",,,"8","0",,"0","4"
"Deaths","12/24/2022","80+","0.0","8.8","17.0","0.0","0.0",,,,,,"24,842","11,369","47,114","0","1","8","80","200"
"Hospitalizations","08/19/2023","12-17","0.0","1.2","2.2","0.0","0.0",,,,,,"31,883","86,575","44,594","0","1","1","12","17"
"Deaths","06/17/2023","80+","0.0","0.0","2.1",,"0.0",,,,,,"24,516","11,383","47,130","0","0","1","80","200"
"Hospitalizations","07/24/2021","30-49","8.8","0.6",,"14.7",,,,,,,"272,185","492,321",,"24","3",,"30","49"
"Deaths","09/09/2023","All","0.2","0.0","0.0",,,"0.2","0.0","0.0",,,"526,704","860,292","1,040,817","1","0","0","999","999"
"Deaths","08/14/2021","All","1.9","0.0",,,,"3.0","0.0",,,,"1,110,584","1,424,722",,"21","0",,"999","999"
"Cases","10/15/2022","18-29","114.8","32.1","76.8","3.6","1.5",,,,,,"86,242","211,934","161,484","99","68","124","18","29"
"Hospitalizations","08/27/2022","65-79","39.4","36.4","19.9","1.1","2.0",,,,,,"45,631","43,956","170,603","18","16","34","65","79"
"Deaths","06/03/2023","80+","0.0","0.0","2.1",,"0.0",,,,,,"24,536","11,384","47,129","0","0","1","80","200"
"Hospitalizations","06/26/2021","30-49","3.5","0.6",,"5.8",,,,,,,"289,323","463,639",,"10","3",,"30","49"
"Hospitalizations","05/07/2022","65-79","21.0","16.2","10.4","1.3","2.0",,,,,,"47,611","49,260","162,746","10","8","17","65","79"
"Deaths","07/09/2022","12-17","0.0","0.0","0.0",,,,,,,,"36,376","91,174","37,907","0","0","0","12","17"
"Cases","03/25/2023","12-17","81.9","42.8","47.1","1.9","1.7",,,,,,"32,972","86,480","44,563","27","37","21","12","17"
"Cases","05/20/2023","All","34.5","12.6","21.8","2.7","1.6","40.9","12.9","17.5","3.2","2.3","535,909","860,356","1,040,655","185","108","227","999","999"
"Hospitalizations","10/16/2021","All","11.5","2.9",,"4.0",,"17.7","2.3",,"7.7",,"987,934","1,507,974",,"114","44",,"999","999"
"Deaths","05/06/2023","30-49","0.0","0.0","0.0",,,,,,,,"109,056","278,396","347,295","0","0","0","30","49"
"Cases","03/18/2023","All","88.3","49.7","65.7","1.8","1.3","102.1","48.9","66.0","2.1","1.5","542,688","858,373","1,040,492","479","427","684","999","999"
"Deaths","03/05/2022","All","1.2","0.9","0.4","1.3","3.0","1.3","1.7","0.3","0.8","4.4","668,131","908,622","900,419","8","8","4","999","999"
"Hospitalizations","10/07/2023","5-11","1.1","0.0","0.0",,,,,,,,"89,345","82,666","21,271","1","0","0","5","11"
"Deaths","10/15/2022","18-29","0.0","0.0","0.0",,,,,,,,"86,242","211,934","161,484","0","0","0","18","29"
"Cases","01/01/2022","All","2,442.2","1,834.6","1,063.9","1.3","2.3","2,749.0","1,671.1","915.8","1.6","3.0","797,277","1,104,766","587,380","19,471","20,268","6,249","999","999"
"Hospitalizations","12/11/2021","18-29","21.7","0.3","0.0","72.3",,,,,,,"147,702","295,416","37,772","32","1","0","18","29"
"Deaths","03/25/2023","65-79","2.5","0.0","1.2",,"2.1",,,,,,"39,930","43,424","171,711","1","0","2","65","79"
"Deaths","09/10/2022","18-29","0.0","0.0","0.0",,,,,,,,"90,487","211,509","161,187","0","0","0","18","29"
"Deaths","04/15/2023","18-29","0.0","0.0","0.0",,,,,,,,"75,787","213,968","161,682","0","0","0","18","29"
"Cases","07/02/2022","18-29","389.3","121.6","291.9","3.2","1.3",,,,,,"93,769","214,617","155,854","365","261","455","18","29"
"Hospitalizations","06/10/2023","0-4","0.0","0.0",,,,,,,,,"162,642",,,"0","0",,"0","4"
"Cases","03/18/2023","50-64","121.9","54.9","77.4","2.2","1.6",,,,,,"33,625","125,634","246,883","41","69","191","50","64"
"Deaths","04/10/2021","65-79","7.0","0.9",,"7.8",,,,,,,"99,368","107,437",,"7","1",,"65","79"
"Hospitalizations","05/21/2022","65-79","36.0","35.1","16.5","1.0","2.2",,,,,,"47,243","48,398","164,100","17","17","27","65","79"
"Deaths","10/29/2022","65-79","0.0","4.6","1.2","0.0","0.0",,,,,,"42,620","43,357","171,513","0","2","2","65","79"
"Hospitalizations","05/08/2021","50-64","67.6","4.1",,"16.5",,,,,,,"146,538","195,911",,"99","8",,"50","64"
"Hospitalizations","09/30/2023","All","5.0","1.7","3.8","2.9","1.3","6.6","2.3","2.9","2.9","2.3","524,196","860,280","1,040,855","26","15","40","999","999"
"Cases","05/13/2023","50-64","124.2","19.9","30.8","6.2","4.0",,,,,,"33,018","125,743","246,910","41","25","76","50","64"
"Hospitalizations","04/23/2022","18-29","6.2","3.2","1.3","1.9","4.8",,,,,,"97,360","218,531","149,251","6","7","2","18","29"
"Cases","11/13/2021","30-49","299.2","112.8","36.5","2.7","8.2",,,,,,"196,498","516,743","46,608","588","583","17","30","49"
"Hospitalizations","09/02/2023","5-11","1.1","2.4","0.0","0.5",,,,,,,"89,489","82,669","21,265","1","2","0","5","11"
"Hospitalizations","05/22/2021","30-49","21.6","1.4",,"15.4",,,,,,,"324,620","366,867",,"70","5",,"30","49"
"Hospitalizations","07/15/2023","80+","4.1","0.0","2.1",,"2.0",,,,,,"24,489","11,383","47,130","1","0","1","80","200"
"Cases","07/22/2023","30-49","27.9","12.9","15.0","2.2","1.9",,,,,,"107,614","278,401","347,312","30","36","52","30","49"
"Hospitalizations","04/23/2022","5-11","0.0","1.1",,"0.0",,,,,,,"102,360","92,950",,"0","1",,"5","11"
"Deaths","07/30/2022","80+","3.8","8.4","6.5","0.5","0.6",,,,,,"26,322","11,862","46,378","1","1","3","80","200"
"Hospitalizations","07/10/2021","50-64","4.7","0.3",,"15.7",,,,,,,"107,073","304,806",,"5","1",,"50","64"
