"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Deaths","05/07/2022","50-64","0.0","0.0","0.4",,"0.0",,,,,,"43,830","134,524","233,206","0","0","1","50","64"
"Hospitalizations","06/19/2021","30-49","4.1","0.2",,"20.5",,,,,,,"294,504","450,450",,"12","1",,"30","49"
"Cases","07/01/2023","18-29","6.7","5.1","11.1","1.3","0.6",,,,,,"74,266","214,137","161,703","5","11","18","18","29"
"Deaths","03/18/2023","65-79","0.0","0.0","1.2",,"0.0",,,,,,"39,970","43,416","171,710","0","0","2","65","79"
"Deaths","12/18/2021","65-79","35.5","7.4","0.0","4.8",,,,,,,"53,484","94,857","110,903","19","7","0","65","79"
"Cases","05/28/2022","All","304.4","214.4","333.7","1.4","0.9","343.4","200.3","361.7","1.7","0.9","643,200","881,598","969,242","1,958","1,890","3,234","999","999"
"Hospitalizations","01/22/2022","65-79","176.3","121.2","30.3","1.5","5.8",,,,,,"50,480","66,009","141,953","89","80","43","65","79"
"Deaths","12/25/2021","80+","67.7","35.3","3.0","1.9","22.6",,,,,,"28,067","22,679","33,427","19","8","1","80","200"
"Cases","09/17/2022","18-29","167.0","53.0","108.4","3.2","1.5",,,,,,"89,805","211,472","161,406","150","112","175","18","29"
"Deaths","07/02/2022","80+","3.8","8.2","2.2","0.5","1.7",,,,,,"26,451","12,179","45,911","1","1","1","80","200"
"Hospitalizations","05/13/2023","18-29","2.7","0.0","0.0",,,,,,,,"75,158","214,134","161,690","2","0","0","18","29"
"Deaths","02/04/2023","65-79","2.5","0.0","0.6",,"4.2",,,,,,"40,248","43,385","171,692","1","0","1","65","79"
"Cases","05/28/2022","12-17","423.9","256.7","344.3","1.7","1.2",,,,,,"37,034","93,497","34,850","157","240","120","12","17"
"Deaths","12/24/2022","12-17","0.0","0.0","0.0",,,,,,,,"33,751","86,182","44,535","0","0","0","12","17"
"Deaths","05/15/2021","30-49","0.9","0.0",,,,,,,,,"338,871","332,283",,"3","0",,"30","49"
"Cases","06/05/2021","65-79","36.6","6.7",,"5.5",,,,,,,"76,606","179,075",,"28","12",,"65","79"
"Cases","09/16/2023","30-49","44.0","29.1","34.3","1.5","1.3",,,,,,"106,807","278,395","347,325","47","81","119","30","49"
"Deaths","06/03/2023","18-29","0.0","0.0","0.0",,,,,,,,"74,734","214,134","161,695","0","0","0","18","29"
"Hospitalizations","01/22/2022","80+","279.3","286.1","69.2","1.0","4.0",,,,,,"27,573","17,479","39,032","77","50","27","80","200"
"Hospitalizations","04/10/2021","All","17.6","3.0",,"5.9",,"21.9","1.8",,"12.0",,"1,707,958","396,727",,"300","12",,"999","999"
"Hospitalizations","07/01/2023","50-64","9.2","0.0","0.4",,"23.0",,,,,,"32,676","125,733","246,928","3","0","1","50","64"
"Hospitalizations","05/28/2022","50-64","20.9","10.6","8.9","2.0","2.3",,,,,,"42,974","132,464","236,190","9","14","21","50","64"
"Deaths","07/08/2023","5-11","0.0","0.0","0.0",,,,,,,,"90,204","82,670","21,257","0","0","0","5","11"
"Cases","11/05/2022","50-64","333.4","90.2","124.9","3.7","2.7",,,,,,"36,895","125,268","246,677","123","113","308","50","64"
"Deaths","01/15/2022","30-49","7.8","0.3","0.0","26.0",,,,,,,"154,759","346,990","239,415","12","1","0","30","49"
"Deaths","07/29/2023","30-49","0.0","0.0","0.0",,,,,,,,"107,515","278,402","347,313","0","0","0","30","49"
"Hospitalizations","02/25/2023","12-17","0.0","0.0","0.0",,,,,,,,"33,176","86,371","44,558","0","0","0","12","17"
"Deaths","04/22/2023","30-49","0.0","0.0","0.0",,,,,,,,"109,408","278,312","347,288","0","0","0","30","49"
"Hospitalizations","09/03/2022","5-11","0.0","0.0","0.0",,,,,,,,"95,528","82,574","16,920","0","0","0","5","11"
"Hospitalizations","01/01/2022","80+","365.2","444.6","106.9","0.8","3.4",,,,,,"27,932","20,693","35,560","102","92","38","80","200"
"Deaths","03/19/2022","All","0.6","0.3","0.0","2.0",,"0.8","0.7","0.0","1.1",,"662,148","905,646","919,703","4","3","0","999","999"
"Cases","06/17/2023","12-17","6.2","1.2","0.0","5.2",,,,,,,"32,372","86,577","44,586","2","1","0","12","17"
"Hospitalizations","08/28/2021","50-64","62.7","6.8",,"9.2",,,,,,,"89,285","322,178",,"56","22",,"50","64"
"Deaths","06/25/2022","12-17","0.0","0.0","0.0",,,,,,,,"36,604","92,093","36,756","0","0","0","12","17"
"Hospitalizations","07/31/2021","12-17","1.1","0.0",,,,,,,,,"94,143","64,465",,"1","0",,"12","17"
"Deaths","01/08/2022","All","14.4","5.8","2.2","2.5","6.5","20.0","7.7","1.2","2.6","17.0","771,844","1,058,475","641,998","111","61","14","999","999"
"Cases","12/04/2021","12-17","685.6","103.4",,"6.6",,,,,,,"58,493","105,452",,"401","109",,"12","17"
"Hospitalizations","12/10/2022","0-4","3.1","0.0",,,,,,,,,"162,642",,,"5","0",,"0","4"
"Hospitalizations","03/12/2022","5-11","0.0","0.0",,,,,,,,,"104,915","86,398",,"0","0",,"5","11"
"Cases","08/20/2022","80+","171.5","267.6","222.4","0.6","0.8",,,,,,"26,236","11,583","46,759","45","31","104","80","200"
"Deaths","11/18/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,480","86,496","44,716","0","0","0","12","17"
"Cases","06/26/2021","18-29","18.8","4.7",,"4.0",,,,,,,"228,136","254,744",,"43","12",,"18","29"
"Cases","04/15/2023","50-64","102.0","41.4","63.2","2.5","1.6",,,,,,"33,349","125,709","246,898","34","52","156","50","64"
"Cases","10/23/2021","50-64","192.9","47.7","30.3","4.0","6.4",,,,,,"74,137","326,932","13,200","143","156","4","50","64"
